Name,team,FantasyPoints
Beau Janzig,air-force,0.0
Ren Morque,air-force,0.0
Will Jones,air-force,0.0
Simon Houge,air-force,0.0
Jake Peterson,air-force,0.0
Cole Christian,air-force,0.0
Anthony Yu,air-force,0.0
Oliver Genest,air-force,0.0
Sam Jacobs,air-force,0.0
Cade Moxham,air-force,0.0
Mason McCormick,air-force,0.0
Will Dawson,air-force,0.0
Holt Oliphant,air-force,0.0
Calvin Beard,air-force,0.0
Nolan Cunningham,air-force,0.0
Hayden Nichol,air-force,0.0
Chris Hedden,air-force,0.0
Nick Sajevic,air-force,0.0
Michael Kadlecik,air-force,0.0
Sam Stitz,air-force,0.0
Dominik Wasik,air-force,0.0
Zane Spaniol,air-force,0.0
Carter Clafton,air-force,0.0
Toby Hopp,air-force,0.0
Dylan Krick,air-force,0.0
Will Staring,air-force,0.0
Nick Remissong,air-force,0.0
Nate Farrell,air-force,0.0
Brendan Gibbons,air-force,0.0
Aidan Willis,air-force,0.0
Charles Panchisin,air-force,0.0
Ethan Warrener,alaska-anchorage,0.0
Joey Potter,alaska-anchorage,0.0
Isaac Menard,alaska-anchorage,0.0
Pavol Funtek,alaska-anchorage,0.0
Brandon Lajoie,alaska-anchorage,0.0
Camden Shasby,alaska-anchorage,0.0
Oren SHTROM,alaska-anchorage,0.0
Conor Cole,alaska-anchorage,0.0
Logan Acheson,alaska-anchorage,0.0
Dylan Contreras,alaska-anchorage,0.0
JP Steele,alaska-anchorage,0.0
Luke Helgeson,alaska-anchorage,0.0
Henry Bartle,alaska-anchorage,0.0
Dominic Foglia,alaska-anchorage,0.0
Ryan Johnson,alaska-anchorage,0.0
Bryce Monrean,alaska-anchorage,0.0
Judah Makway,alaska-anchorage,0.0
Nolan Gagnon,alaska-anchorage,0.0
Adam Parsons,alaska-anchorage,0.0
Ben Anderson,alaska-anchorage,0.0
Aiden Westin,alaska-anchorage,0.0
David Jesus,alaska-anchorage,0.0
Tanyon Bajzer,alaska-anchorage,0.0
Dimitry Kebreau,alaska-anchorage,0.0
Tye Spencer,alaska-anchorage,0.0
Tyler Krivtsov,alaska-anchorage,0.0
Bryant Marks,alaska-anchorage,0.0
Greg Orosz,alaska-anchorage,0.0
Luke Johnson,alaska-anchorage,0.0
Karter McNarland,alaska-anchorage,0.0
Carson Reed,alaska,0.0
Noah Barlage,alaska,0.0
William Fleet,alaska,0.0
Jhett Larson,alaska,0.0
Jackson Anderson,alaska,0.0
Braden Birnie,alaska,0.0
Dean Spak,alaska,0.0
William Lawson-Body,alaska,0.0
Haden Kruse,alaska,0.0
Adam Cardona,alaska,0.0
Fyodor Nikolayenya,alaska,0.0
Tommy Cronin,alaska,0.0
Dylan Sydor,alaska,0.0
Trenton Penner,alaska,0.0
Misha Danylov,alaska,0.0
Rylen Roersma,alaska,0.0
Cade Ahrenholz,alaska,0.0
Caelum Dick,alaska,0.0
Peyton Platter,alaska,0.0
Alexander Malinowski,alaska,0.0
Nathan Rickey,alaska,0.0
Lucas Sorace,alaska,0.0
Michael Citara,alaska,0.0
Beau Courtney,alaska,0.0
Zak Brice,alaska,0.0
Calvin Vachon,alaska,0.0
Kyle Miller,alaska,0.0
Lassi Lehti,alaska,0.0
Davis Borozinskis,alaska,0.0
Chase Dafoe,alaska,0.0
Hugo Marcil,alaska,0.0
Jack Beck,arizona-state,0.0
Justin Kipkie,arizona-state,0.0
Austin Zemlak,arizona-state,0.0
Richard Baran,arizona-state,0.0
Joel Kjellberg,arizona-state,0.0
Anthony Dowd,arizona-state,0.0
Tucker Ness,arizona-state,0.0
Lincoln Kuehne,arizona-state,0.0
Cullen Potter,arizona-state,0.0
Hunter Mullett,arizona-state,0.0
Carmelo Crandell,arizona-state,0.0
Noah Powell,arizona-state,0.0
Sean McGurn,arizona-state,0.0
Johnny Waldron,arizona-state,0.0
Logan Morrell,arizona-state,0.0
Ty Nash,arizona-state,0.0
Bennett Schimek,arizona-state,0.0
Justin Cloutier,arizona-state,0.0
Kyle Smolen,arizona-state,0.0
Samuel Alfano,arizona-state,0.0
